WKT;shape_id;
"LINESTRING (-99.07252 19.41489,-99.07617 19.40915,-99.0782 19.40745,-99.07902 19.40696,-99.08234 19.40697,-99.08668 19.40775,-99.09136 19.40811,-99.09436 19.40876,-99.09762 19.40911,-99.10284 19.40811,-99.10524 19.40826,-99.10784 19.4083,-99.11286 19.4082,-99.12228 19.40894,-99.13549 19.40851,-99.14434 19.40702,-99.15504 19.40636,-99.16831 19.40576,-99.17847 19.40559,-99.18731 19.40248,-99.18731 19.40248,-99.18731 19.40248)";14830
"LINESTRING (-99.18731 19.40248,-99.17847 19.40559,-99.16831 19.40576,-99.15504 19.40636,-99.14434 19.40702,-99.13549 19.40851,-99.12228 19.40894,-99.11286 19.4082,-99.10786 19.40848,-99.10488 19.40852,-99.10284 19.40811,-99.09966 19.40888,-99.09668 19.40913,-99.0929 19.40856,-99.09136 19.40811,-99.08681 19.40777,-99.08234 19.40697,-99.07928 19.40688,-99.07829 19.40739,-99.07737 19.40819,-99.0758 19.40977,-99.07252 19.41489,-99.07252 19.41489,-99.07252 19.41489,-99.07252 19.41489)";14831
"LINESTRING (-99.07263 19.41461,-99.06983 19.40405,-99.0597 19.39822,-99.04651 19.39073,-99.03579 19.3846,-99.01729 19.37292,-99.00598 19.36425,-98.99589 19.3598,-98.97671 19.35878,-98.96062 19.35049,-98.96062 19.35049)";14832
"LINESTRING (-98.96062 19.35049,-98.97671 19.35878,-98.99589 19.3598,-99.00598 19.36425,-99.01729 19.37292,-99.03579 19.3846,-99.04651 19.39073,-99.0597 19.39822,-99.06983 19.40405,-99.07263 19.41461,-99.07263 19.41461)";14833
"LINESTRING (-99.02711 19.53444,-99.0298 19.52822,-99.03298 19.52084,-99.03569 19.5147,-99.04172 19.50096,-99.04635 19.49024,-99.04874 19.48499,-99.05437 19.47253,-99.05733 19.46643,-99.05879 19.46323,-99.06115 19.46135,-99.06471 19.46081,-99.0675 19.45947,-99.06927 19.45817,-99.07917 19.45077,-99.08683 19.44572,-99.0942 19.44048,-99.10343 19.43628,-99.11446 19.43182,-99.11933 19.43843,-99.12323 19.44257,-99.13108 19.443,-99.13995 19.44338,-99.14635 19.44523,-99.1529 19.44616,-99.1529 19.44616,-99.1529 19.44616,-99.1529 19.44616)";14834
"LINESTRING (-99.1529 19.44616,-99.14635 19.44523,-99.13995 19.44338,-99.13108 19.443,-99.12323 19.44257,-99.11933 19.43843,-99.11446 19.43182,-99.10343 19.43628,-99.0942 19.44048,-99.08683 19.44572,-99.07917 19.45077,-99.06926 19.45816,-99.06782 19.45919,-99.0652 19.4607,-99.06115 19.46135,-99.05909 19.46275,-99.05846 19.46404,-99.05673 19.46766,-99.05437 19.47253,-99.04874 19.48499,-99.04635 19.49024,-99.04172 19.50096,-99.03569 19.5147,-99.03298 19.52084,-99.0298 19.52822,-99.02711 19.53444,-99.02711 19.53444,-99.02711 19.53444,-99.02711 19.53444)";14835
"LINESTRING (-98.95886 19.32162,-98.95865 19.32222,-98.95717 19.32369,-98.95667 19.32373,-98.95685 19.32285,-98.9571 19.32272,-98.95752 19.32301,-98.96268 19.32735,-98.96845 19.33223,-98.97424 19.33709,-98.97532 19.33828,-98.97612 19.33952,-98.97724 19.34127,-98.97842 19.34306,-98.97963 19.34425,-98.97998 19.34473,-98.98068 19.34543,-98.98071 19.34564,-98.98086 19.34579,-98.98187 19.34572,-98.98265 19.34582,-98.98364 19.34569,-98.9842 19.34578,-98.98716 19.34637,-98.98995 19.34693,-98.99256 19.34741,-98.9953 19.34795,-98.99677 19.34825,-99.00141 19.3491,-99.00371 19.34944,-99.00735 19.35032,-99.01176 19.35112,-99.01268 19.35128,-99.01427 19.35221,-99.01821 19.35425,-99.02284 19.35673,-99.02726 19.35895,-99.02791 19.35959,-99.02813 19.36025,-99.028 19.36065,-99.02771 19.36114,-99.02771 19.36155,-99.0279 19.3619,-99.03214 19.36356,-99.03696 19.36543,-99.03953 19.36643,-99.04012 19.36647,-99.04629 19.36889,-99.04646 19.36909,-99.04651 19.36941,-99.04575 19.37142,-99.04581 19.37212,-99.04608 19.37238,-99.04836 19.37298,-99.0525 19.37408,-99.05491 19.37513,-99.05702 19.37604,-99.05841 19.3766,-99.0589 19.37656,-99.06051 19.37599,-99.06693 19.37713,-99.06951 19.3775,-99.07206 19.37804,-99.07331 19.37812,-99.07457 19.37839,-99.07712 19.37885,-99.07987 19.37922,-99.08228 19.37994,-99.08666 19.38003,-99.08676 19.37803,-99.08696 19.37701,-99.08699 19.37527,-99.08705 19.37487,-99.08718 19.37472,-99.09127 19.37482,-99.09393 19.37486,-99.09463 19.37496,-99.0949 19.37527,-99.09657 19.37674,-99.09679 19.37751,-99.09814 19.37507,-99.09866 19.37465,-99.09865 19.37428,-99.09971 19.37226,-99.09659 19.37207,-99.09659 19.37207,-99.09659 19.37207,-99.09659 19.37207,-99.09659 19.37207,-99.09659 19.37207)";16340
"LINESTRING (-99.0966 19.37207,-99.09753 19.37199,-99.09964 19.37224,-99.09869 19.37415,-99.09839 19.37449,-99.09669 19.3748,-99.09575 19.37477,-99.09479 19.37469,-99.0916 19.37458,-99.088 19.37445,-99.08171 19.3744,-99.08176 19.37226,-99.08152 19.37192,-99.0808 19.37183,-99.08015 19.37158,-99.07784 19.36995,-99.0771 19.36948,-99.07481 19.36824,-99.06994 19.36558,-99.06715 19.36414,-99.06381 19.36382,-99.06076 19.36351,-99.05911 19.3634,-99.05726 19.36319,-99.05375 19.36272,-99.05071 19.36238,-99.04916 19.36223,-99.04287 19.36099,-99.04162 19.36095,-99.04055 19.36119,-99.03782 19.36095,-99.03501 19.36064,-99.03164 19.36025,-99.0293 19.36,-99.02844 19.35951,-99.02749 19.35888,-99.02325 19.35662,-99.02123 19.35557,-99.01835 19.354,-99.01693 19.35324,-99.01549 19.35247,-99.0147 19.35195,-99.01284 19.35109,-99.01204 19.35083,-99.01027 19.35058,-99.00761 19.35007,-99.00543 19.34964,-99.00379 19.34934,-99.00233 19.34906,-99.00155 19.34888,-98.99694 19.34796,-98.99549 19.34767,-98.99312 19.34724,-98.99031 19.34666,-98.98726 19.34604,-98.98347 19.34544,-98.98231 19.3456,-98.98132 19.34534,-98.98003 19.34445,-98.97856 19.34293,-98.97619 19.33928,-98.97514 19.33782,-98.97393 19.33664,-98.96769 19.33145,-98.95874 19.32369,-98.95829 19.3233,-98.9583 19.32285,-98.95944 19.32144,-98.96124 19.31891,-98.96105 19.31891,-98.95886 19.32162,-98.95886 19.32162,-98.95886 19.32162)";16426
"LINESTRING (-99.06212 19.43114,-99.06146 19.43106,-99.06121 19.43088,-99.06105 19.43091,-99.05963 19.4308,-99.05902 19.43079,-99.0581 19.42963,-99.05694 19.42819,-99.05718 19.4277,-99.05729 19.42634,-99.05682 19.42631,-99.05704 19.4241,-99.05655 19.42404,-99.05671 19.42226,-99.05727 19.42237,-99.05889 19.42279,-99.06054 19.42449,-99.06165 19.42471,-99.06272 19.42485,-99.06425 19.42501,-99.06531 19.42516,-99.06638 19.42533,-99.06807 19.4255,-99.0697 19.42569,-99.0712 19.42588,-99.07226 19.42606,-99.07241 19.42501,-99.07261 19.42361,-99.0728 19.42213,-99.0731 19.42066,-99.07327 19.41923,-99.07343 19.41797,-99.07354 19.418,-99.07376 19.41649,-99.07462 19.41655,-99.07462 19.41655,-99.07462 19.41655,-99.07462 19.41655,-99.07462 19.41655,-99.07462 19.41655)";16677
"LINESTRING (-99.10465 19.40891,-99.10468 19.40841,-99.10573 19.40834,-99.10899 19.40838,-99.11081 19.40837,-99.11262 19.4084,-99.11302 19.40841,-99.11343 19.40845,-99.11528 19.40864,-99.11599 19.40874,-99.11754 19.4089,-99.12 19.40917,-99.12158 19.40925,-99.12158 19.41015,-99.12157 19.41081,-99.1216 19.41184,-99.12154 19.41333,-99.12138 19.41345,-99.12125 19.41375,-99.12129 19.4138,-99.12425 19.41364,-99.12769 19.41351,-99.13051 19.41341,-99.13321 19.41331,-99.13479 19.4133,-99.13517 19.41342,-99.13701 19.41447,-99.13746 19.41474,-99.13841 19.41483,-99.14076 19.41499,-99.14348 19.41519,-99.14624 19.41539,-99.14778 19.41551,-99.15059 19.41572,-99.15243 19.41583,-99.15433 19.416,-99.15625 19.41564,-99.15877 19.41515,-99.16044 19.41484,-99.16041 19.41483,-99.1616 19.41461,-99.1624 19.41449,-99.1626 19.4144,-99.1632 19.41429,-99.16499 19.41539,-99.167 19.4166,-99.16738 19.41682,-99.16775 19.41689,-99.169420000000102 19.41654,-99.16999 19.41603,-99.1704000000001 19.41657,-99.17115 19.41748,-99.17182 19.4184,-99.172690000000102 19.4195,-99.173320000000103 19.4203,-99.175200000000103 19.41992,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053,-99.175330000000102 19.42053)";16829
